measurement_id,site_name,target_cd,measured_cd,focus,dose,pattern_type,pitch,measurement_uncertainty,layer
P00001,C,45,82.005,-150,0.85,line_space,90,1.2,M1
P00002,TL,45,82.114,-150,0.85,line_space,90,1.2,M1
P00003,BR,45,82.719,-150,0.85,line_space,90,1.2,M1
P00004,C,45,81.496,-150,0.92,line_space,90,1.2,M1
P00005,TL,45,79.927,-150,0.92,line_space,90,1.2,M1
P00006,BR,45,79.26,-150,0.92,line_space,90,1.2,M1
P00007,C,45,81.88,-150,1.0,line_space,90,1.2,M1
P00008,TL,45,81.935,-150,1.0,line_space,90,1.2,M1
P00009,BR,45,79.686,-150,1.0,line_space,90,1.2,M1
P00010,C,45,80.983,-150,1.08,line_space,90,1.2,M1
P00011,TL,45,81.118,-150,1.08,line_space,90,1.2,M1
P00012,BR,45,80.571,-150,1.08,line_space,90,1.2,M1
P00013,C,45,81.143,-150,1.15,line_space,90,1.2,M1
P00014,TL,45,80.19,-150,1.15,line_space,90,1.2,M1
P00015,BR,45,81.142,-150,1.15,line_space,90,1.2,M1
P00016,C,45,81.387,-100,0.85,line_space,90,1.2,M1
P00017,TL,45,80.378,-100,0.85,line_space,90,1.2,M1
P00018,BR,45,79.656,-100,0.85,line_space,90,1.2,M1
P00019,C,45,80.716,-100,0.92,line_space,90,1.2,M1
P00020,TL,45,81.022,-100,0.92,line_space,90,1.2,M1
P00021,BR,45,81.833,-100,0.92,line_space,90,1.2,M1
P00022,C,45,81.471,-100,1.0,line_space,90,1.2,M1
P00023,TL,45,82.604,-100,1.0,line_space,90,1.2,M1
P00024,BR,45,79.405,-100,1.0,line_space,90,1.2,M1
P00025,C,45,79.777,-100,1.08,line_space,90,1.2,M1
P00026,TL,45,81.49,-100,1.08,line_space,90,1.2,M1
P00027,BR,45,81.678,-100,1.08,line_space,90,1.2,M1
P00028,C,45,79.273,-100,1.15,line_space,90,1.2,M1
P00029,TL,45,79.461,-100,1.15,line_space,90,1.2,M1
P00030,BR,45,82.775,-100,1.15,line_space,90,1.2,M1
P00031,C,45,82.617,-60,0.85,line_space,90,1.2,M1
P00032,TL,45,80.776,-60,0.85,line_space,90,1.2,M1
P00033,BR,45,84.248,-60,0.85,line_space,90,1.2,M1
P00034,C,45,78.812,-60,0.92,line_space,90,1.2,M1
P00035,TL,45,80.258,-60,0.92,line_space,90,1.2,M1
P00036,BR,45,81.53,-60,0.92,line_space,90,1.2,M1
P00037,C,45,83.849,-60,1.0,line_space,90,1.2,M1
P00038,TL,45,81.097,-60,1.0,line_space,90,1.2,M1
P00039,BR,45,82.568,-60,1.0,line_space,90,1.2,M1
P00040,C,45,82.286,-60,1.08,line_space,90,1.2,M1
P00041,TL,45,81.804,-60,1.08,line_space,90,1.2,M1
P00042,BR,45,81.693,-60,1.08,line_space,90,1.2,M1
P00043,C,45,82.14,-60,1.15,line_space,90,1.2,M1
P00044,TL,45,80.459,-60,1.15,line_space,90,1.2,M1
P00045,BR,45,81.59,-60,1.15,line_space,90,1.2,M1
P00046,C,45,63.669,-30,0.85,line_space,90,1.2,M1
P00047,TL,45,62.624,-30,0.85,line_space,90,1.2,M1
P00048,BR,45,63.952,-30,0.85,line_space,90,1.2,M1
P00049,C,45,63.392,-30,0.92,line_space,90,1.2,M1
P00050,TL,45,65.477,-30,0.92,line_space,90,1.2,M1
P00051,BR,45,63.976,-30,0.92,line_space,90,1.2,M1
P00052,C,45,63.647,-30,1.0,line_space,90,1.2,M1
P00053,TL,45,62.66,-30,1.0,line_space,90,1.2,M1
P00054,BR,45,61.881,-30,1.0,line_space,90,1.2,M1
P00055,C,45,61.926,-30,1.08,line_space,90,1.2,M1
P00056,TL,45,64.049,-30,1.08,line_space,90,1.2,M1
P00057,BR,45,63.762,-30,1.08,line_space,90,1.2,M1
P00058,C,45,60.813,-30,1.15,line_space,90,1.2,M1
P00059,TL,45,63.36,-30,1.15,line_space,90,1.2,M1
P00060,BR,45,63.77,-30,1.15,line_space,90,1.2,M1
P00061,C,45,51.612,0,0.85,line_space,90,1.2,M1
P00062,TL,45,52.795,0,0.85,line_space,90,1.2,M1
P00063,BR,45,49.445,0,0.85,line_space,90,1.2,M1
P00064,C,45,52.651,0,0.92,line_space,90,1.2,M1
P00065,TL,45,53.968,0,0.92,line_space,90,1.2,M1
P00066,BR,45,51.142,0,0.92,line_space,90,1.2,M1
P00067,C,45,52.61,0,1.0,line_space,90,1.2,M1
P00068,TL,45,49.837,0,1.0,line_space,90,1.2,M1
P00069,BR,45,51.449,0,1.0,line_space,90,1.2,M1
P00070,C,45,52.009,0,1.08,line_space,90,1.2,M1
P00071,TL,45,49.518,0,1.08,line_space,90,1.2,M1
P00072,BR,45,54.767,0,1.08,line_space,90,1.2,M1
P00073,C,45,48.711,0,1.15,line_space,90,1.2,M1
P00074,TL,45,54.716,0,1.15,line_space,90,1.2,M1
P00075,BR,45,51.102,0,1.15,line_space,90,1.2,M1
P00076,C,45,39.351,30,0.85,line_space,90,1.2,M1
P00077,TL,45,40.101,30,0.85,line_space,90,1.2,M1
P00078,BR,45,38.842,30,0.85,line_space,90,1.2,M1
P00079,C,45,38.376,30,0.92,line_space,90,1.2,M1
P00080,TL,45,40.868,30,0.92,line_space,90,1.2,M1
P00081,BR,45,42.417,30,0.92,line_space,90,1.2,M1
P00082,C,45,38.232,30,1.0,line_space,90,1.2,M1
P00083,TL,45,40.892,30,1.0,line_space,90,1.2,M1
P00084,BR,45,41.174,30,1.0,line_space,90,1.2,M1
P00085,C,45,39.491,30,1.08,line_space,90,1.2,M1
P00086,TL,45,36.8,30,1.08,line_space,90,1.2,M1
P00087,BR,45,39.205,30,1.08,line_space,90,1.2,M1
P00088,C,45,39.051,30,1.15,line_space,90,1.2,M1
P00089,TL,45,42.09,30,1.15,line_space,90,1.2,M1
P00090,BR,45,40.217,30,1.15,line_space,90,1.2,M1
P00091,C,45,12.498,60,0.85,line_space,90,1.2,M1
P00092,TL,45,15.349,60,0.85,line_space,90,1.2,M1
P00093,BR,45,14.707,60,0.85,line_space,90,1.2,M1
P00094,C,45,12.514,60,0.92,line_space,90,1.2,M1
P00095,TL,45,13.958,60,0.92,line_space,90,1.2,M1
P00096,BR,45,13.448,60,0.92,line_space,90,1.2,M1
P00097,C,45,13.999,60,1.0,line_space,90,1.2,M1
P00098,TL,45,16.243,60,1.0,line_space,90,1.2,M1
P00099,BR,45,12.847,60,1.0,line_space,90,1.2,M1
P00100,C,45,15.809,60,1.08,line_space,90,1.2,M1
P00101,TL,45,11.336,60,1.08,line_space,90,1.2,M1
P00102,BR,45,17.943,60,1.08,line_space,90,1.2,M1
P00103,C,45,18.143,60,1.15,line_space,90,1.2,M1
P00104,TL,45,14.306,60,1.15,line_space,90,1.2,M1
P00105,BR,45,17.189,60,1.15,line_space,90,1.2,M1
P00106,C,45,2.59,100,0.85,line_space,90,1.2,M1
P00107,TL,45,-1.551,100,0.85,line_space,90,1.2,M1
P00108,BR,45,1.713,100,0.85,line_space,90,1.2,M1
P00109,C,45,1.433,100,0.92,line_space,90,1.2,M1
P00110,TL,45,0.861,100,0.92,line_space,90,1.2,M1
P00111,BR,45,2.493,100,0.92,line_space,90,1.2,M1
P00112,C,45,0.117,100,1.0,line_space,90,1.2,M1
P00113,TL,45,-0.618,100,1.0,line_space,90,1.2,M1
P00114,BR,45,-1.171,100,1.0,line_space,90,1.2,M1
P00115,C,45,1.771,100,1.08,line_space,90,1.2,M1
P00116,TL,45,0.693,100,1.08,line_space,90,1.2,M1
P00117,BR,45,1.027,100,1.08,line_space,90,1.2,M1
P00118,C,45,0.915,100,1.15,line_space,90,1.2,M1
P00119,TL,45,1.081,100,1.15,line_space,90,1.2,M1
P00120,BR,45,1.743,100,1.15,line_space,90,1.2,M1
P00121,C,45,0.902,150,0.85,line_space,90,1.2,M1
P00122,TL,45,1.547,150,0.85,line_space,90,1.2,M1
P00123,BR,45,-0.144,150,0.85,line_space,90,1.2,M1
P00124,C,45,4.048,150,0.92,line_space,90,1.2,M1
P00125,TL,45,-0.365,150,0.92,line_space,90,1.2,M1
P00126,BR,45,-0.89,150,0.92,line_space,90,1.2,M1
P00127,C,45,1.902,150,1.0,line_space,90,1.2,M1
P00128,TL,45,2.184,150,1.0,line_space,90,1.2,M1
P00129,BR,45,0.901,150,1.0,line_space,90,1.2,M1
P00130,C,45,2.333,150,1.08,line_space,90,1.2,M1
P00131,TL,45,-1.668,150,1.08,line_space,90,1.2,M1
P00132,BR,45,-0.278,150,1.08,line_space,90,1.2,M1
P00133,C,45,1.694,150,1.15,line_space,90,1.2,M1
P00134,TL,45,0.332,150,1.15,line_space,90,1.2,M1
P00135,BR,45,1.317,150,1.15,line_space,90,1.2,M1
P00136,C,60,106.285,-150,0.85,line_space,120,1.2,M1
P00137,TL,60,110.464,-150,0.85,line_space,120,1.2,M1
P00138,BR,60,109.522,-150,0.85,line_space,120,1.2,M1
P00139,C,60,109.649,-150,0.92,line_space,120,1.2,M1
P00140,TL,60,108.194,-150,0.92,line_space,120,1.2,M1
P00141,BR,60,107.133,-150,0.92,line_space,120,1.2,M1
P00142,C,60,107.113,-150,1.0,line_space,120,1.2,M1
P00143,TL,60,109.151,-150,1.0,line_space,120,1.2,M1
P00144,BR,60,107.662,-150,1.0,line_space,120,1.2,M1
P00145,C,60,107.121,-150,1.08,line_space,120,1.2,M1
P00146,TL,60,106.582,-150,1.08,line_space,120,1.2,M1
P00147,BR,60,105.025,-150,1.08,line_space,120,1.2,M1
P00148,C,60,108.195,-150,1.15,line_space,120,1.2,M1
P00149,TL,60,107.907,-150,1.15,line_space,120,1.2,M1
P00150,BR,60,105.251,-150,1.15,line_space,120,1.2,M1
P00151,C,60,107.957,-100,0.85,line_space,120,1.2,M1
P00152,TL,60,107.086,-100,0.85,line_space,120,1.2,M1
P00153,BR,60,108.265,-100,0.85,line_space,120,1.2,M1
P00154,C,60,106.382,-100,0.92,line_space,120,1.2,M1
P00155,TL,60,108.942,-100,0.92,line_space,120,1.2,M1
P00156,BR,60,107.739,-100,0.92,line_space,120,1.2,M1
P00157,C,60,110.318,-100,1.0,line_space,120,1.2,M1
P00158,TL,60,108.853,-100,1.0,line_space,120,1.2,M1
P00159,BR,60,107.998,-100,1.0,line_space,120,1.2,M1
P00160,C,60,110.042,-100,1.08,line_space,120,1.2,M1
P00161,TL,60,106.995,-100,1.08,line_space,120,1.2,M1
P00162,BR,60,108.884,-100,1.08,line_space,120,1.2,M1
P00163,C,60,109.047,-100,1.15,line_space,120,1.2,M1
P00164,TL,60,109.492,-100,1.15,line_space,120,1.2,M1
P00165,BR,60,107.271,-100,1.15,line_space,120,1.2,M1
P00166,C,60,102.613,-60,0.85,line_space,120,1.2,M1
P00167,TL,60,104.633,-60,0.85,line_space,120,1.2,M1
P00168,BR,60,103.08,-60,0.85,line_space,120,1.2,M1
P00169,C,60,103.615,-60,0.92,line_space,120,1.2,M1
P00170,TL,60,104.253,-60,0.92,line_space,120,1.2,M1
P00171,BR,60,106.133,-60,0.92,line_space,120,1.2,M1
P00172,C,60,107.041,-60,1.0,line_space,120,1.2,M1
P00173,TL,60,105.589,-60,1.0,line_space,120,1.2,M1
P00174,BR,60,103.693,-60,1.0,line_space,120,1.2,M1
P00175,C,60,103.602,-60,1.08,line_space,120,1.2,M1
P00176,TL,60,101.605,-60,1.08,line_space,120,1.2,M1
P00177,BR,60,104.535,-60,1.08,line_space,120,1.2,M1
P00178,C,60,103.131,-60,1.15,line_space,120,1.2,M1
P00179,TL,60,103.574,-60,1.15,line_space,120,1.2,M1
P00180,BR,60,102.765,-60,1.15,line_space,120,1.2,M1
P00181,C,60,76.894,-30,0.85,line_space,120,1.2,M1
P00182,TL,60,76.745,-30,0.85,line_space,120,1.2,M1
P00183,BR,60,79.157,-30,0.85,line_space,120,1.2,M1
P00184,C,60,78.181,-30,0.92,line_space,120,1.2,M1
P00185,TL,60,76.278,-30,0.92,line_space,120,1.2,M1
P00186,BR,60,77.246,-30,0.92,line_space,120,1.2,M1
P00187,C,60,80.817,-30,1.0,line_space,120,1.2,M1
P00188,TL,60,78.416,-30,1.0,line_space,120,1.2,M1
P00189,BR,60,79.662,-30,1.0,line_space,120,1.2,M1
P00190,C,60,75.968,-30,1.08,line_space,120,1.2,M1
P00191,TL,60,78.794,-30,1.08,line_space,120,1.2,M1
P00192,BR,60,79.851,-30,1.08,line_space,120,1.2,M1
P00193,C,60,76.371,-30,1.15,line_space,120,1.2,M1
P00194,TL,60,78.14,-30,1.15,line_space,120,1.2,M1
P00195,BR,60,77.244,-30,1.15,line_space,120,1.2,M1
P00196,C,60,63.091,0,0.85,line_space,120,1.2,M1
P00197,TL,60,65.166,0,0.85,line_space,120,1.2,M1
P00198,BR,60,66.105,0,0.85,line_space,120,1.2,M1
P00199,C,60,63.678,0,0.92,line_space,120,1.2,M1
P00200,TL,60,68.942,0,0.92,line_space,120,1.2,M1
P00201,BR,60,64.238,0,0.92,line_space,120,1.2,M1
P00202,C,60,64.936,0,1.0,line_space,120,1.2,M1
P00203,TL,60,65.179,0,1.0,line_space,120,1.2,M1
P00204,BR,60,65.251,0,1.0,line_space,120,1.2,M1
P00205,C,60,66.558,0,1.08,line_space,120,1.2,M1
P00206,TL,60,64.832,0,1.08,line_space,120,1.2,M1
P00207,BR,60,65.215,0,1.08,line_space,120,1.2,M1
P00208,C,60,64.038,0,1.15,line_space,120,1.2,M1
P00209,TL,60,65.58,0,1.15,line_space,120,1.2,M1
P00210,BR,60,67.505,0,1.15,line_space,120,1.2,M1
P00211,C,60,51.343,30,0.85,line_space,120,1.2,M1
P00212,TL,60,55.848,30,0.85,line_space,120,1.2,M1
P00213,BR,60,51.757,30,0.85,line_space,120,1.2,M1
P00214,C,60,54.044,30,0.92,line_space,120,1.2,M1
P00215,TL,60,54.655,30,0.92,line_space,120,1.2,M1
P00216,BR,60,55.296,30,0.92,line_space,120,1.2,M1
P00217,C,60,55.856,30,1.0,line_space,120,1.2,M1
P00218,TL,60,52.976,30,1.0,line_space,120,1.2,M1
P00219,BR,60,55.25,30,1.0,line_space,120,1.2,M1
P00220,C,60,55.315,30,1.08,line_space,120,1.2,M1
P00221,TL,60,54.946,30,1.08,line_space,120,1.2,M1
P00222,BR,60,53.813,30,1.08,line_space,120,1.2,M1
P00223,C,60,55.28,30,1.15,line_space,120,1.2,M1
P00224,TL,60,55.197,30,1.15,line_space,120,1.2,M1
